id,name,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_percent
9d2770c6-ae58-403b-a3e9-cd89c4a9bccf,williams wine passion fruit drink golden passion 750 ml,coffee tea  beverages,3.0,1,899.0,999.0,10.01001001001001
3432e271-a317-4dd2-b40b-fc4a12a8d90e,vita orange juice no sugar added 3381 fl oz  1000 ml,coffee tea  beverages,2.9,2,0.0,350.0,100.0
2713ea52-4f06-420f-bd36-20761d252877,passion fruit crush 1 kg  passion fruit squash  harvest natural,coffee tea  beverages,3.3,4,0.0,260.0,100.0
3040b335-0f69-47b7-80f2-586458da3bbe,b naturall instant chicory root powder  500 gm by b natruall,coffee tea  beverages,4.2,9,299.0,551.0,45.73502722323049
f7bbfd23-ef9c-4265-8e13-37e358167bd4,ecomil organic almond milk classic 1 l,coffee tea  beverages,5.0,1,1150.0,1250.0,8.0
72aac4ad-0205-407b-9416-2d5d1785dfa2,limca 750ml,coffee tea  beverages,0.0,0,39.0,40.0,2.5
f1dee3c5-fe5e-4a1a-ae88-46e4211ff05a,sk pharmaceuticals ginger and garlic ras ginger and garlic juice sugar free  200 ml,coffee tea  beverages,4.3,5,339.0,380.0,10.789473684210527
016f907e-77fb-4239-8565-afa0baac2920,jeevan ras aloevera  amla herbal juice multicolour 1 l,coffee tea  beverages,4.3,144,280.0,300.0,6.666666666666667
055fc15d-d838-43e6-9500-09da4c7e4b48,monin watermelon bottle 250 ml,coffee tea  beverages,4.0,33,0.0,395.0,100.0
fffe8970-88f2-428a-b9cd-3d6f179df231,monster energy 350 ml,coffee tea  beverages,4.3,276,124.0,125.0,0.8
74d19997-5071-44ed-a21b-52930c399d98,b naturall pomegranate powder  all natural  spraydried  dry no added sugars and preservatives  200 gm by b naturall,coffee tea  beverages,3.1,18,444.0,581.0,23.580034423407916
32871abd-0fcc-43e7-9f5c-57978e9785b9,sprite 250ml,coffee tea  beverages,4.2,66,19.0,20.0,5.0
292a8b72-3f68-4da8-965d-c824c34e4982,sorich organics tulsi herbal tea  100g  detox tea pure ayurvedic herbs for immunity and cholesterol,coffee tea  beverages,4.3,33,140.0,200.0,30.0
e51f5702-39eb-4b8a-8ae8-2ed820a9c9d8,responsible whatr non carbonated natural spring water based beverage 6 x 500 ml,coffee tea  beverages,4.1,26,0.0,450.0,100.0
7e0269f6-4b7c-46a9-b6e4-3eb5e58b6c9f,saravana gambodge horsegram herbal juice kodampuli kollusaru 500 ml,coffee tea  beverages,3.5,3,359.0,375.0,4.266666666666667
2fb516fe-3957-4014-bd5a-9c7236f48473,sharrets liquid vitamin d3 cholecalciferol oral spray supplement for men women 400 iu  serving 90ml,coffee tea  beverages,3.5,2,375.0,395.0,5.063291139240507
84cc9336-d1e3-4117-9ecb-c1b2489dcb10,birla morton lime juice cordial 750ml,coffee tea  beverages,4.1,5,0.0,130.0,100.0
3abde161-43b3-414b-9bcd-807f1bc0684b,schweppes soda water can 6 pack 6 x 320 ml,coffee tea  beverages,3.1,3,0.0,300.0,100.0
21c67b0b-2a30-46c1-ac96-5cf77d4e35c7,thums up 250ml,coffee tea  beverages,4.5,71,0.0,20.0,100.0
8f7eb4c0-64b8-45e4-8273-6016ddf931f0,malas fruit mocktail syrup blue curacao mocktail 750ml  blueberry crush 750 ml,coffee tea  beverages,5.0,1,0.0,646.0,100.0
3180d09d-ffb6-4e94-8e8d-6a079cb25e51,oqua naturals premium quality buransh squash sugar free rhododenron nectar from the lap of himalayas  700 ml,coffee tea  beverages,0.0,0,250.0,260.0,3.8461538461538463
bcb09020-7dd4-433f-b17d-16967c34c253,meghdoot karela jamun juice 500 ml,coffee tea  beverages,5.0,1,179.0,190.0,5.7894736842105265
6655498f-55e5-46ad-8a0f-cefc3bbe3c57,williams wine non alcoholic wine pineapple fruit wine pine yellow  750 ml,coffee tea  beverages,3.7,20,749.0,999.0,25.025025025025027
9a945e0c-1bad-4b6f-8532-2ba3c9f82627,dhanwantari magno rich a premium drink concentrate super antioxidant juice 1000ml,coffee tea  beverages,0.0,0,1490.0,1499.0,0.600400266844563
e86e870f-8483-49af-8652-a1b7838ebffb,teacurry lemongrass tea  30 tea bags  helps with inflammation digestion cholesterol,coffee tea  beverages,0.0,0,411.0,549.0,25.136612021857925
5ce249ca-6072-4fcb-91d5-7fe5e15d9857,adrish zerowaste brahmi squash 500ml,coffee tea  beverages,4.2,3,175.0,180.0,2.7777777777777777
86d4963c-7b92-4fca-9b06-996cc331aa40,monin blueberry syrup 2366 fl oz  700 ml,coffee tea  beverages,4.4,192,0.0,1155.0,100.0
c3987ca8-2cf7-4bed-b36c-fb90baa631dc,tastecraft coffee mocha syrup 750ml,coffee tea  beverages,4.0,5,550.0,625.0,12.0
3ac6e7db-64b4-4c20-9a7c-c942a23fac18,hitkary kesar elaichi sharbat 750 ml,coffee tea  beverages,5.0,2,305.0,315.0,3.1746031746031744
396722cb-be27-452a-9ab3-ecd456d2d2e6,sugar free sharbat rehans rasoi shikanji 250 ml,coffee tea  beverages,5.0,2,130.0,135.0,3.7037037037037033
e3e869ab-2515-45e4-bdc0-52b0852ad817,omkar products mango squash  750ml,coffee tea  beverages,3.2,2,158.0,160.0,1.25
2f7699be-b50c-49b6-8752-9106c69ff32f,borcha  jasmine appletini  probiotic kombucha  immunity booster antioxidant and hydration companion  single can  330ml,coffee tea  beverages,0.0,0,0.0,160.0,100.0
ad24465e-108e-462a-8fb2-b0129513b1f4,omkar products mango squash  750ml,coffee tea  beverages,3.2,2,158.0,160.0,1.25
49498061-ab73-42fa-9297-31af286c2371,borcha  jasmine appletini  probiotic kombucha  immunity booster antioxidant and hydration companion  single can  330ml,coffee tea  beverages,0.0,0,0.0,160.0,100.0
7e1743e4-0174-4dc3-b5b5-b73f342eb764,wingreens farms amla aloe karela  jamun mix juice 500ml,coffee tea  beverages,4.0,3,0.0,225.0,100.0
c610c767-0663-4934-a2af-e34478935033,krishnas herbal and ayurveda papaya leaf juice 500 ml with giloy juice 500 ml,coffee tea  beverages,3.6,14,420.0,430.0,2.3255813953488373
d1ac17d3-5aff-46ce-b7b9-14dfae2a6671,newish giloy juice for drinking  immunity booster 750ml,coffee tea  beverages,4.0,84,179.0,380.0,52.89473684210526
3cbf07ee-1a87-4911-b4b0-cf6d7e328c97,manama ice tea exotic berry syrup fusion of blackberry and blueberry 750ml,coffee tea  beverages,3.0,1,0.0,190.0,100.0
8593baa9-f7de-4d85-8891-0d1e781fb127,unique cocacola diet soft drink 300ml,coffee tea  beverages,1.0,2,39.0,40.0,2.5
bf11a2e6-8317-4f83-9494-f5edecc96ce7,paperboat fruit juice aam panna 180ml,coffee tea  beverages,4.0,4,0.0,20.0,100.0
56586b7f-3de4-4e4f-b8ec-4cbde065bd67,real activ coconut water bottle 1000 ml,coffee tea  beverages,3.8,10,0.0,160.0,100.0
0a261b24-3e04-4c19-97e8-9b5b797e3451,malas fruit mocktail syrup blue curacao mocktail 750ml,coffee tea  beverages,4.4,2935,296.0,299.0,1.0033444816053512
d07cec97-9d00-457d-a518-ad576ea9431e,cocacola zero sugar no calories soft drink can 300 ml,coffee tea  beverages,4.3,1395,0.0,40.0,100.0
27c185ef-0d17-4fd9-ab7d-7f363d02c73f,dabur hommade lemoneez goodness of 33 lemons  250 ml,coffee tea  beverages,4.4,1702,79.0,80.0,1.25
e72a88bb-783d-4cda-87c2-16fce5042a10,thums up soft drink pet bottle 225 l,coffee tea  beverages,4.4,2004,0.0,85.0,100.0
cfbd9e7f-7a04-45eb-8565-516825a4ad87,glucond instant energy health drink tangy orange  450gm refill,coffee tea  beverages,4.4,5629,157.0,173.0,9.248554913294797
c2518213-5234-4914-8a0f-f6a18dd21eae,paper boat swing zesty pomegranate juice enriched with vitamin d no gmos 600 ml,coffee tea  beverages,4.1,1866,0.0,40.0,100.0
86df192d-ee38-4768-8708-8236ee65c5ca,paper boat swing lush lychee juice litchi drink enriched with vitamin d no gmos 600 ml,coffee tea  beverages,4.1,1259,0.0,40.0,100.0
7dc74231-46bc-4108-b39f-4abd527884a8,raw pressery valencia orange juice 1000 ml,coffee tea  beverages,4.3,1070,217.0,330.0,34.24242424242424
cfe64e36-4f53-4e84-a1d8-0570020ed7b9,paper boat swing slurpy mango juice enriched with vitamin d no gmos 600 ml,coffee tea  beverages,4.2,1337,38.0,40.0,5.0
f94afc41-6fc8-4b9a-bfa0-408af4dcc00a,cocacola original taste soft drink pet bottle 225 l,coffee tea  beverages,4.4,1035,94.0,99.0,5.05050505050505
7a3e65f7-3576-46b8-8760-536b7934a0c1,pepsi mountain dew soft drink bottle 750 ml,coffee tea  beverages,4.5,152,36.0,40.0,10.0
5b88522f-e65a-42c3-934e-b843d692a8a7,mapro lemon barley water 750ml,coffee tea  beverages,4.4,550,0.0,180.0,100.0
22b3fede-ff01-43ef-853b-44a975888940,pepsi soft drink 750 ml,coffee tea  beverages,4.4,171,0.0,50.0,100.0
b162f22b-ca8e-4174-90b3-68957aae9e6c,amulya dairy whitener 200g refill,coffee tea  beverages,4.3,64,87.0,90.0,3.3333333333333335
15839250-16de-4a86-b96e-9a3da4c7adb3,mapro lemon ginger squash 750ml,coffee tea  beverages,4.3,421,162.0,180.0,10.0
